Year,social-media,communication,reviews,literature,papers,editorial-media,document,corpora,streams,geospatial,time-series,networks,polarity-analysis,opinion-mining,emotion-analysis,stance-analysis,roi,classification,comparison,overview,monitoring,navigation,uncertainty,color,position,size,shape,texture,line-plot,pixel-area,node-link,clouds,maps,text,glyph
2001,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,2,0,2,2,2,0,0,2,0,2,0,2,0,0,0,2,2,0,2,0,2,2,0,2,0,2,2,0,0,0,0,2
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,0,0,2,2,0,0,2,0,2,2,2,0,0,0,2,0,0,0,2,0
2006,4,4,4,0,0,0,4,4,0,0,4,4,4,4,4,0,0,4,4,4,0,4,0,4,4,4,0,0,4,0,4,0,4,0,4
2007,2,2,0,0,0,2,2,2,0,0,2,0,2,2,2,0,0,2,2,2,0,0,0,2,0,2,0,0,2,2,0,0,0,2,0
2008,3,0,0,0,0,3,0,3,0,0,3,0,3,3,0,0,0,3,3,3,0,3,3,3,3,3,0,0,3,3,0,3,0,3,3
2009,5,0,5,0,0,5,5,5,0,5,5,0,5,5,5,0,0,5,5,5,0,5,0,5,5,5,5,0,5,5,0,0,5,5,5
2010,6,6,6,0,6,0,6,6,6,6,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,0,0,6
2011,9,0,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,0,0,9,9,9,9,9,9,9
2012,17,17,17,17,0,17,17,17,17,17,17,17,17,17,17,0,17,17,17,17,17,17,17,17,17,17,0,17,17,17,17,17,17,17,17
2013,18,18,18,0,0,18,18,18,18,18,18,18,18,18,18,18,0,18,18,18,18,18,0,18,18,18,18,18,18,18,18,18,18,18,18
2014,24,24,24,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2015,15,15,15,15,0,15,15,15,15,15,15,15,15,15,15,0,0,15,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15
2016,28,28,28,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
2017,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2018,11,0,11,11,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,0,11,11
2019,3,0,0,3,0,3,3,3,0,0,3,3,3,0,3,0,0,3,3,3,0,3,0,3,0,3,3,0,0,3,0,3,0,3,0
